track,cond,model,si_sdr_base,si_sdr_enh,pesq_base,pesq_enh,dur_s
track_1,noise,gtcrn,24.344704,25.644527,2.5301661491394043,3.3499138355255127,3.296
track_1,noise,gtcrn,20.248192,21.209702,2.226518154144287,2.7561330795288086,3.792
track_1,noise,gtcrn,21.363121,22.882706,2.008547067642212,3.039085865020752,4.192
track_1,noise,gtcrn,21.352127,21.653444,2.131682872772217,2.924628973007202,4.496
track_1,noise,gtcrn,21.469398,23.436815,2.0336289405822754,3.178532361984253,4.0
track_1,noise,gtcrn,25.408249,24.563381,3.2002575397491455,3.486701488494873,3.2
track_1,noise,gtcrn,24.143679,24.646793,1.991201400756836,2.8601715564727783,4.592
track_1,noise,gtcrn,16.097343,17.87882,1.6878697872161865,2.5222983360290527,3.088
track_1,noise,gtcrn,16.211742,19.270325,1.365554690361023,2.649693250656128,3.296
track_1,noise,gtcrn,20.808418,23.372982,1.7061636447906494,2.4484751224517822,6.096
track_1,noise,gtcrn,11.666531,14.9491415,1.2720627784729004,2.08316969871521,3.888
track_1,noise,gtcrn,12.248682,15.030479,1.4033644199371338,2.566753625869751,3.6
track_1,noise,gtcrn,13.176746,18.01284,1.762254238128662,2.488124132156372,5.296
track_1,noise,gtcrn,31.37145,28.675888,3.279357671737671,3.6359331607818604,3.6
track_1,noise,gtcrn,21.158741,23.233574,2.0542941093444824,2.8324618339538574,4.4
track_1,noise,gtcrn,20.12554,22.729317,1.3435828685760498,2.712193250656128,4.288
track_1,noise,gtcrn,28.252256,23.589418,2.8872313499450684,3.422736406326294,4.896
track_1,noise,gtcrn,17.93905,24.330017,2.4043400287628174,3.366943120956421,3.2
track_1,noise,gtcrn,21.110144,23.077143,3.687074899673462,4.096813678741455,4.288
track_1,noise,gtcrn,19.976488,22.12432,1.8675081729888916,2.718601942062378,4.096
track_1,noise,gtcrn,20.28196,24.400814,1.3967339992523193,2.811647415161133,4.688
track_1,noise,gtcrn,18.172255,25.827396,1.9930157661437988,3.426464080810547,5.296
track_1,noise,gtcrn,21.094133,23.363903,1.5517451763153076,3.2502341270446777,4.8
track_1,noise,gtcrn,21.067049,22.905426,2.0710058212280273,3.118601083755493,4.192
track_1,noise,gtcrn,23.219015,23.506828,2.2737293243408203,3.085435390472412,3.6
