model,file,si_sdr_clean_vs_enh,lsd_clean_vs_enh,dur_s
ulunas,p246_224_mic1-768ca80acfab-227b650a0383.wav,25.066,5.4998,3.636
ulunas,p246_239_mic1-13d1f7d0647d-65f5c4dba2f7.wav,22.7803,4.9034,4.819
ulunas,p246_258_mic1-70e38bedc924-af941749cbdd.wav,26.1524,5.2392,4.365
ulunas,p246_274_mic2-eb54a3506c9d-a616e137ca7d.wav,24.202,9.6461,5.133
ulunas,p246_276_mic2-e1410226610c-4161b9333092.wav,29.8364,6.8836,4.412
ulunas,p247_024_mic2-cb93e704e871-2260a3478c21.wav,26.8467,5.0542,7.029
ulunas,p247_069_mic1-6feb04caa664-a0b88e36dd5d.wav,28.6973,6.4377,3.18
ulunas,p247_078_mic2-cdf16b0e0379-0e52f37939ee.wav,28.8308,6.7385,3.381
ulunas,p247_092_mic1-8859324a0062-26d4f6b91804.wav,24.0575,3.8106,3.422
ulunas,p247_113_mic1-75a94796af7a-de2d500b426f.wav,23.108,6.0859,4.439
ulunas,p247_116_mic2-00b9f914c069-6970c2d8a4e5.wav,24.7557,7.3915,3.078
ulunas,p247_127_mic2-d664b99f061c-ef63248a95d3.wav,25.4523,6.4471,3.159
ulunas,p247_130_mic2-61f72bc2b52e-b2e3d2fb4f7b.wav,24.5357,8.5874,3.328
ulunas,p247_157_mic1-585a436c7124-e84c0b5f5455.wav,24.3763,5.9603,3.068
ulunas,p247_176_mic2-d7210581e27d-781f8a05713e.wav,30.1662,4.5332,4.941
ulunas,p247_185_mic1-a252c97e8230-0d97d87e6b90.wav,22.5244,6.4649,3.078
ulunas,p247_199_mic2-c85e9da4834f-9632fbc4eeaa.wav,24.0088,4.4468,3.526
ulunas,p247_206_mic1-6668a0eb51e8-12a1607c5e87.wav,26.6701,4.0923,3.004
ulunas,p247_210_mic2-076c9b303f07-28a916cb303d.wav,27.324,5.2208,3.527
ulunas,p247_236_mic2-d191304aa687-833ed044ad4d.wav,26.3692,5.168,3.594
ulunas,p247_239_mic2-e0237f6d6789-fab70cb8f5fa.wav,31.5118,5.0123,3.762
ulunas,p247_289_mic2-573ec0599529-270a5e471777.wav,23.8556,5.8503,4.77
ulunas,p247_357_mic2-e8a458a91e71-5c34f4acbcbc.wav,16.702,5.3792,3.114
ulunas,p247_404_mic2-646a69f12906-648939b48659.wav,22.9511,4.563,3.203
ulunas,p247_408_mic2-52955c799386-bc30bfd0ae05.wav,28.8881,5.7794,3.563
ulunas,p247_479_mic2-02ca8fb369b5-64e0d8ed8c9a.wav,27.3275,6.3338,3.326
ulunas,p248_007_mic2-55e7bc0b82fc-61a23e6d380b.wav,35.603,4.0539,5.517
ulunas,p248_008_mic2-c6b3db8cf121-523a10c4f8cb.wav,33.0684,4.1566,9.491
ulunas,p248_013_mic2-ffb8aed19e9a-7cabb3617c4e.wav,30.7756,4.7259,5.443
ulunas,p248_029_mic1-afcd8426ac0b-25c873c0cb7e.wav,28.8316,4.4744,4.822
ulunas,p248_032_mic1-1a8101e654f4-530069153b9b.wav,29.9532,4.182,3.892
ulunas,p248_034_mic2-b62589242897-6375c3d8f9c1.wav,31.8632,4.6538,5.446
ulunas,p248_046_mic2-2a19485dc5a3-9075cd37517c.wav,31.2712,5.5842,3.764
ulunas,p248_066_mic2-52f583ed99f3-602c0124af48.wav,36.7923,6.112,3.547
ulunas,p248_106_mic1-6eb0022dbc6e-fcf809c21a71.wav,32.6779,4.222,6.204
ulunas,p248_108_mic1-14f01f09303f-09c1165bdbaf.wav,23.7892,4.0481,3.681
ulunas,p248_109_mic2-e3f7d7772283-2462919f9c0a.wav,13.9561,6.5346,3.675
ulunas,p248_118_mic1-a992692b402b-a7932c1551b3.wav,26.5436,4.6323,3.019
ulunas,p248_133_mic2-b10b3fec4d89-6ba3489a04c3.wav,15.5743,4.3311,3.033
ulunas,p248_149_mic2-13507aa7afc5-1c4a456a87fc.wav,29.3685,6.0125,3.437
ulunas,p248_153_mic2-664a80868d8f-bdbd2bdcffbd.wav,31.3874,5.7033,5.699
ulunas,p248_154_mic1-7a77a481cd71-1c2b3005a93b.wav,28.8862,3.4474,3.764
ulunas,p248_159_mic1-416e5d2d897f-fadd710ef01a.wav,31.4528,3.755,4.74
ulunas,p248_163_mic2-37cee5447278-f6312393832e.wav,30.3202,5.7448,3.944
ulunas,p248_165_mic1-42bd592ed3a6-6b3e820f7c74.wav,29.8028,5.2473,3.464
ulunas,p248_191_mic1-abcfff94cd98-a99411dfbd5d.wav,30.2743,3.5645,3.659
ulunas,p248_193_mic1-646a8e62e8ab-d15780425e4c.wav,29.6529,4.5827,3.629
ulunas,p248_226_mic2-0a8375bd5771-cbc668c60f0a.wav,30.687,4.3322,4.608
ulunas,p248_242_mic1-5cb39f643a55-7c476ba0df38.wav,21.4022,4.5778,3.758
ulunas,p248_268_mic1-efd30c47c57d-3c67c107351c.wav,26.0335,4.6103,3.204
ulunas,p248_284_mic1-a0286bd02a2f-e59fa600c235.wav,29.0303,5.2235,3.589
